Возраст,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Всего,"8,283,483","8,395,287","8,515,465","8,632,125","8,751,292","8,876,168","9,002,510","9,127,910","9,249,454","9,365,811","9,482,203","9,597,438","9,719,010","9,989,375","10,119,106","10,250,028","10,372,562"
0,"169,209","169,889","176,276","178,490","183,608","185,694","192,100","191,773","192,160","187,152","191,066","192,597","204,519","214,424","194,563","186,296","175,452"
1,"148,620","168,910","169,698","175,938","178,031","183,221","185,183","191,638","191,353","191,889","186,909","190,660","192,411","205,163","214,072","194,925","185,989"
2,"140,354","148,650","169,002","169,620","175,836","177,924","183,026","184,936","191,329","190,980","191,508","186,494","190,395","193,420","204,963","213,943","195,326"
3,"131,232","140,431","148,825","169,045","169,562","175,779","177,739","182,801","184,643","190,978","190,612","191,101","186,220","191,712","193,206","204,801","213,906"
4,"128,989","131,349","140,579","148,910","168,987","169,463","175,621","177,526","182,511","184,309","190,605","190,192","190,882","187,452","191,463","193,066","204,712"
5,"119,379","129,091","131,502","140,575","148,817","168,900","169,247","175,439","177,263","182,132","183,928","190,153","189,919","192,200","187,205","191,238","192,946"
6,"113,869","119,513","129,270","131,499","140,473","148,776","168,749","169,056","175,094","176,910","181,742","183,487","189,898","191,579","191,935","187,026","191,073"
7,"107,990","114,010","119,714","129,282","131,436","140,351","148,618","168,527","168,748","174,727","176,510","181,290","183,246","192,196","191,255","191,716","186,889"
8,"109,626","108,133","114,209","119,751","129,219","131,391","140,236","148,451","168,243","168,444","174,398","176,073","181,036","185,988","191,919","191,052","191,586"
9,"106,005","109,720","108,270","114,222","119,691","129,155","131,254","140,051","148,196","167,910","168,094","173,991","175,843","183,949","185,672","191,672","190,899"
10,"109,186","106,147","109,903","108,262","114,150","119,631","129,008","131,059","139,814","147,875","167,574","167,739","173,768","179,727","183,616","185,467","191,508"
11,"110,414","109,321","106,314","109,918","108,222","114,088","119,484","128,821","130,849","139,547","147,560","167,155","167,515","177,539","179,358","183,389","185,314"
12,"118,871","110,565","109,492","106,322","109,846","108,164","113,951","119,342","128,572","130,625","139,253","147,179","166,973","172,404","177,153","179,317","183,088"
13,"126,419","118,955","110,680","109,512","106,276","109,771","108,042","113,813","119,121","128,355","130,343","138,912","146,965","175,317","171,992","177,053","179,487"
14,"135,852","126,542","119,090","110,675","109,456","106,214","109,673","107,870","113,616","118,918","128,056","130,076","138,725","159,367","175,086","171,697","176,976"
15,"139,312","135,838","126,607","119,079","110,630","109,351","106,094","109,514","107,671","113,241","118,374","127,789","129,892","145,820","159,193","174,985","171,695"
16,"147,005","139,358","135,938","126,615","119,021","110,588","109,234","105,931","109,374","107,291","112,950","118,405","127,686","134,883","145,793","159,289","175,364"
17,"154,632","147,076","139,450","136,000","126,590","119,022","110,514","109,144","105,570","109,046","107,189","112,763","118,071","131,922","134,802","145,792","159,377"
18,"165,114","154,546","147,110","139,440","135,968","126,549","118,945","110,393","108,820","105,507","108,793","106,918","112,569","121,395","131,882","134,795","145,831"
19,"166,646","164,940","154,544","147,084","139,430","135,961","126,458","118,787","110,154","108,799","105,379","108,676","106,842","115,534","121,404","131,944","134,969"
20,"170,373","166,568","165,023","154,590","147,077","139,406","135,897","126,330","118,707","110,071","108,594","105,141","108,538","109,668","115,576","121,461","132,090"
