Возраст,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Всего,"7,698,869","7,807,886","7,924,789","8,041,518","8,158,507","8,284,052","8,412,377","8,540,810","8,667,169","8,790,014","8,912,439","9,033,482","9,159,956","9,513,784","9,647,701","9,783,814","9,910,837"
0,"178,195","180,694","186,157","188,923","193,003","197,661","203,838","203,370","205,441","199,981","203,180","205,847","218,764","227,877","206,498","198,467","186,906"
1,"157,247","177,752","180,387","185,800","188,455","192,492","197,091","203,306","202,894","205,140","199,633","202,706","205,542","218,713","227,445","206,821","198,118"
2,"148,754","157,180","177,787","180,384","185,622","188,222","192,219","196,775","202,927","202,466","204,741","199,124","202,398","205,786","218,488","227,279","207,129"
3,"138,616","148,789","157,333","177,801","180,280","185,452","188,018","191,979","196,407","202,501","202,066","204,260","198,858","202,994","205,521","218,293","227,201"
4,"137,653","138,666","148,890","157,351","177,689","180,196","185,239","187,792","191,609","196,048","202,088","201,578","203,993","199,532","202,738","205,309","218,177"
5,"125,736","137,689","138,814","148,910","157,293","177,553","179,992","185,027","187,476","191,213","195,614","201,638","201,292","204,886","199,255","202,472","205,178"
6,"118,869","125,786","137,781","138,813","148,880","157,249","177,342","179,750","184,648","187,132","190,772","195,134","201,389","202,460","204,565","198,981","202,261"
7,"113,679","118,943","125,862","137,786","138,725","148,814","157,068","177,104","179,430","184,274","186,727","190,272","194,844","202,918","202,141","204,293","198,774"
8,"114,423","113,822","119,085","125,889","137,740","138,663","148,627","156,882","176,789","179,077","183,897","186,258","190,018","197,387","202,588","201,916","204,114"
9,"111,802","114,513","113,943","119,082","125,804","137,646","138,501","148,421","156,553","176,450","178,679","183,449","186,004","192,493","197,045","202,326","201,732"
10,"114,712","111,888","114,626","113,904","119,001","125,729","137,499","138,320","148,149","156,229","176,049","178,264","183,222","189,723","192,201","196,773","202,189"
11,"114,865","114,794","111,972","114,614","113,845","118,913","125,555","137,300","138,042","147,849","155,887","175,560","177,978","187,027","189,370","191,833","196,581"
12,"124,212","114,934","114,879","111,982","114,540","113,763","118,773","125,363","137,030","137,749","147,464","155,514","175,317","183,258","186,682","189,356","191,500"
13,"132,033","124,245","115,009","114,909","111,897","114,490","113,626","118,610","125,153","136,786","137,460","147,112","155,286","184,805","182,878","186,586","189,454"
14,"142,072","132,053","124,298","115,014","114,845","111,806","114,316","113,446","118,381","124,891","136,498","137,145","146,893","167,869","184,549","182,613","186,487"
15,"145,466","142,019","132,063","124,286","114,973","114,752","111,642","114,149","113,214","118,105","124,590","136,183","136,896","153,248","167,619","184,495","182,512"
16,"151,718","145,399","141,998","132,056","124,190","114,889","114,589","111,481","113,971","113,048","117,884","124,356","136,067","141,953","153,223","167,709","184,850"
17,"155,597","151,705","145,450","141,994","131,993","124,139","114,756","114,487","111,316","113,861","112,853","117,705","124,191","138,993","141,905","153,199","167,742"
